id,Conservanc,GrazingBlo,Longitude,Latitude
250,Biliqo Bulesa,Nyachis,38.2032879256,1.0713135222
251,Biliqo Bulesa,Kom,38.0958788208,1.0896789048
252,Biliqo Bulesa,Sabarwawa A,38.0661697747,1.1932390091
253,Biliqo Bulesa,Sabarwawa B,38.050308222,1.2807375631
254,Oldonyiro,Settlement,37.2006934434,0.6174724988
255,Oldonyiro,Lekaparo,37.0809666458,0.5833284263
256,Oldonyiro,Rampaso,37.2001614448,0.6111368079
257,Oldonyiro,Lengees,37.1955762822,0.6374404273
258,Oldonyiro,Longomon,37.2069407967,0.668522093
259,Oldonyiro,Lpusi,37.259125215,0.7392377797
260,Oldonyiro,Core Area,37.2926601465,0.6970037085
261,Oldonyiro,Nashapa,37.2966228239,0.6425415259
262,Oldonyiro,Settlement,37.260874415,0.695667303
263,Oldonyiro,Sipeshan,37.2309948527,0.6732521452
264,Oldonyiro,Ndonyo Eldepe,37.0703548937,0.5604664856
265,Oldonyiro,Buffer Zone,37.1312534233,0.5967437894
266,Oldonyiro,Nantudu Wet,36.9602853803,0.6773795222
267,Oldonyiro,Kunanjo,36.8896093045,0.5789366384
268,Oldonyiro,Parkishon,36.9053216884,0.6122480906
269,Oldonyiro,Nalare,36.936069832,0.5810756988
270,Oldonyiro,Nantudu Dry,36.9268445291,0.6710602906
271,Oldonyiro,Ltirim,36.9491792865,0.6305669357
272,Oldonyiro,Settlement1,36.9432466293,0.5631303146
273,Oldonyiro,Settlement2,36.9259333096,0.612255309
274,Oldonyiro,Settlement3,36.9527775032,0.5964379653
275,Oldonyiro,Settlement4,36.9556763488,0.608777434
276,Oldonyiro,Settlement5,36.9607246502,0.6514552879
277,Oldonyiro,Settlement6,36.9780520369,0.693563219
278,Oldonyiro,Settlement7,36.9404271439,0.7046481092
279,Oldonyiro,Settlement8,36.9362201105,0.6749514399
280,Leparua,Lepororong,37.5081921775,0.307888212
281,Leparua,Monirata,37.4017042816,0.4215541083
282,Leparua,Leshulugu,37.4325084324,0.3233306247
283,Leparua,Longishu,37.4931193532,0.3800610738
284,Meibae,Resim,37.0710295896,1.0260362154
285,Meibae,Lengei,36.9945014758,0.7929898592
286,Meibae,Mpasion,37.046180812,0.7867221851
287,Meibae,Mabati,37.1211246621,0.8237992416
288,Meibae,Lkalkaloi,37.1715159724,0.8071982091
289,Meibae,Lekiji,37.2230113056,0.7888939246
290,Meibae,Nkupili,37.2245410152,0.846748212
291,Meibae,Silango,37.2641436893,0.900240009
292,Meibae,Lopesiwuo,37.2300865657,0.9931873921
293,Meibae,Narokie,37.1648070513,0.9171879762
294,Meibae,Lekupe,37.0877476502,0.8654998831
295,Meibae,Laantare,37.0299630227,0.8532623286
296,Meibae,Loruko,37.1742110788,0.9701887168
297,Meibae,Lpus,37.0493393433,0.9284196935
298,Meibae,Lbaa onyokie,37.1233018166,1.0034864419
299,Namunyak,Namunyak15,37.4541400459,0.885039749
300,Namunyak,Lolkeresire,37.5194606262,0.8050450095
301,Namunyak,Silanko Elenkila,37.5348681868,0.8577719383
302,Namunyak,Lturo,37.5369532672,0.9489831412
303,Namunyak,Lturoto Onyekie,37.5391363882,1.0608028202
304,Namunyak,Namunyak 2b,37.4709232693,1.0207894314
305,Namunyak,Core Area,37.4148919509,1.0346921836
306,Namunyak,Sblk3_GA3,37.4071511335,0.9895284814
307,Namunyak,SBlk1a_GA3,37.4325310945,0.9321552271
308,Namunyak,SBlk2a_GA3,37.3633591587,0.9564991421
309,Namunyak,Mathew Ranges,37.3881173496,0.9626426066
310,Namunyak,lentanai_GA4,37.3053051461,0.9928690816
311,Namunyak,Namunyak_GA4,37.339827633,0.9194729549
312,Namunyak,Namunyak_GA3,37.4875247527,1.2067538865
313,Namunyak,Namunyak1a_GA1,37.1499872804,1.1713079104
314,Namunyak,Namunyak_GA2a,37.1447475897,1.083290292
315,Namunyak,Namunyak_GA2b,37.2046012332,1.0678818507
316,Namunyak,Namunyak_GA5a,37.2845897526,1.0373905453
317,Namunyak,Namunyak_GA45b,37.2686685625,1.0947652277
318,Namunyak,Namunyak_GA1b,37.2016185695,1.2177680467
